"gender","age","attitude","deep","stra","surf","points","interest","high_points"
"M",23,33,3.75,3,2.33333333333333,24,7,TRUE
"F",21,33,3.875,4,2.75,28,8,TRUE
"F",21,35,4,3.5,2.75,17,7,FALSE
"F",20,36,3.5,2.625,2.91666666666667,18,9,TRUE
"M",21,42,4.25,2.875,2.66666666666667,0,10,FALSE
"M",22,37,4.375,2.5,2.08333333333333,17,8,TRUE
"F",35,28,4.625,3.25,3.58333333333333,0,8,FALSE
"M",21,42,3.875,3.75,3.66666666666667,23,10,TRUE
"M",22,22,3,2,3.41666666666667,0,3,FALSE
"M",21,32,4.375,3.625,2.83333333333333,26,6,TRUE
"F",20,50,4.25,4.125,3.41666666666667,28,10,TRUE
"M",22,47,3.875,4.375,1.58333333333333,31,10,TRUE
"F",20,36,4.625,2.625,2.91666666666667,27,8,TRUE
"F",20,36,3.875,4,3,25,10,TRUE
"M",24,29,4,2.75,2.91666666666667,23,6,FALSE
"F",20,35,4.125,2.75,2.66666666666667,21,8,TRUE
"F",19,40,2.5,1.375,3,27,9,TRUE
"F",21,35,3.75,2.25,2.75,28,7,TRUE
"F",21,32,3.25,3.625,3.08333333333333,23,5,TRUE
"F",22,26,4.25,3.75,2.5,21,6,FALSE
"F",25,20,3.25,4,2.33333333333333,25,2,FALSE
"F",21,27,3.25,3.125,3,11,6,FALSE
"F",22,32,4.25,3.25,3,19,8,FALSE
"F",25,33,2.375,2.125,4,24,10,TRUE
"F",20,39,3.5,2.875,3.25,28,8,TRUE
"M",24,33,3,1.5,3.5,21,8,TRUE
"F",20,30,2.875,2.5,3.5,24,8,TRUE
"M",21,37,3.25,3.25,3.83333333333333,24,8,TRUE
"F",26,14,3.875,3.25,3.08333333333333,0,3,FALSE
"M",28,30,4.875,2.5,2.5,0,8,FALSE
"F",20,25,4,3.625,2.91666666666667,20,6,FALSE
"F",20,29,3.75,3.875,2.16666666666667,19,7,FALSE
"M",31,39,4.375,3.875,1.66666666666667,30,8,TRUE
"F",20,36,4.5,2.375,2.08333333333333,22,10,TRUE
"F",22,29,3.875,3,2.83333333333333,16,4,FALSE
"F",22,21,3.375,3.375,3.41666666666667,16,4,FALSE
"M",21,31,3.5,2.75,3.33333333333333,19,7,FALSE
"F",20,24,4.375,3.125,3.5,0,6,FALSE
"M",22,40,3.5,4.5,2.58333333333333,30,10,TRUE
"F",21,31,4.5,2.625,2.83333333333333,23,8,TRUE
"F",21,23,4.375,2.75,3.33333333333333,19,7,FALSE
"F",21,28,4.125,3.25,3,18,4,FALSE
"F",21,37,4.375,4.125,2.58333333333333,28,10,TRUE
"F",20,26,3.5,3.375,2.41666666666667,21,8,FALSE
"F",21,24,4,2.75,3.58333333333333,19,8,FALSE
"F",25,30,3.875,4.125,2.08333333333333,27,8,TRUE
"F",27,29,4.25,3,2.75,0,6,FALSE
"F",20,32,3.625,4.125,3.91666666666667,0,6,FALSE
"M",21,28,2.125,3.25,4.33333333333333,24,6,FALSE
"F",24,29,4.375,2.875,2.66666666666667,21,8,FALSE
"F",20,24,4,2.875,3,20,4,FALSE
"M",21,31,4.125,2.375,2.66666666666667,28,8,TRUE
"F",20,19,3.75,3.875,2.16666666666667,12,7,FALSE
"F",20,20,3.875,2.125,2.66666666666667,21,2,FALSE
"F",18,38,3.5,4,2.25,28,8,TRUE
"F",21,34,3.75,3.25,2.66666666666667,31,7,TRUE
"F",19,37,3.5,2.625,3.33333333333333,18,8,TRUE
"F",21,29,4.875,2.75,3.5,25,8,TRUE
"F",20,23,3.125,4,2.75,19,4,FALSE
"M",21,41,4.375,3,2,21,9,TRUE
"F",20,27,3.375,3.375,2.83333333333333,16,6,FALSE
"F",21,35,4,3.875,3.5,7,10,FALSE
"F",20,34,3.625,3.25,2.5,21,7,TRUE
"F",18,32,4.75,3.375,3.16666666666667,17,8,FALSE
"M",22,33,3.5,4.125,3.08333333333333,22,6,TRUE
"F",22,33,3.75,3.5,2.91666666666667,18,5,FALSE
"M",24,35,2.5,2,3.16666666666667,25,7,TRUE
"F",19,32,4.25,3.625,2.5,24,8,TRUE
"F",20,31,3.375,3.375,3.83333333333333,23,7,TRUE
"F",21,24,4,2.25,2.83333333333333,0,5,FALSE
"F",20,28,4.375,2.125,2.25,23,4,FALSE
"F",17,17,4.25,4.625,3.41666666666667,26,5,FALSE
"M",19,19,2.75,2.5,3.75,12,6,FALSE
"F",23,32,4.125,2,1.75,0,8,FALSE
"F",20,35,3,2.875,3,32,6,TRUE
"F",20,24,4,2.75,2.58333333333333,22,4,FALSE
"F",25,38,4.125,3.375,2.75,0,10,FALSE
"F",20,21,4.5,4,3.33333333333333,20,6,FALSE
"F",20,29,4.375,2.375,2.83333333333333,21,8,FALSE
"F",19,19,3.125,3.875,3,23,2,FALSE
"F",19,20,4.25,3.375,2.83333333333333,20,4,FALSE
"F",22,42,2.875,1.75,3.16666666666667,28,8,TRUE
"M",35,41,4,3,2.75,31,10,TRUE
"F",18,37,3.25,2.625,3.41666666666667,18,9,TRUE
"F",19,36,3.625,2.625,3,30,8,TRUE
"M",21,18,3.875,3.375,2.66666666666667,19,2,FALSE
